,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-1,2243,2248,7554.10152,7677.412784100307,-123.3112641003072,-0.016323749922321218,2019-10-25 11:00:00,2019-10-25 13:30:00,0 days 02:30:00
1,-1,2249,2252,7651.167,7787.151997435052,-135.9849974350518,-0.01777310538837429,2019-10-25 14:00:00,2019-10-25 15:30:00,0 days 01:30:00
2,-15,2253,2255,8250.965,8652.493523517138,-6022.927852757066,-0.04866443179884272,2019-10-25 16:00:00,2019-10-25 17:00:00,0 days 01:00:00
3,-11,2256,2270,8580.684239999999,9083.096878643993,-5526.539025083943,-0.05855158220389134,2019-10-25 17:30:00,2019-10-26 00:30:00,0 days 07:00:00
4,-28,5054,5069,7562.97374,7497.22,1841.104720000003,0.00869416479026408,2019-12-23 00:30:00,2019-12-23 08:00:00,0 days 07:30:00
5,1,6485,6495,8553.18222,8745.28,192.09778000000006,0.022459217523837616,2020-01-21 20:00:00,2020-01-22 01:00:00,0 days 05:00:00
6,14,7886,7907,9634.89132,9609.58,-354.3584800000099,-0.0026270477952833327,2020-02-20 00:30:00,2020-02-20 11:00:00,0 days 10:30:00
7,1,10789,10800,6978.1284,6830.38457772959,-147.7438222704095,-0.02117241383383106,2020-04-20 12:00:00,2020-04-20 17:30:00,0 days 05:30:00
8,29,10801,10821,6883.5396,6853.29,-877.2384000000029,-0.004394483326572329,2020-04-20 18:00:00,2020-04-21 04:00:00,0 days 10:00:00
9,1,13639,13666,9359.682,9365.32,5.6379999999990105,0.0006023708925153581,2020-06-18 21:00:00,2020-06-19 10:30:00,0 days 13:30:00
10,1,16454,16468,11743.45002,11836.12,92.66998000000058,0.00789120572252422,2020-08-16 12:30:00,2020-08-16 19:30:00,0 days 07:00:00
11,-1,17847,17848,10480.8962,10643.875273970008,-162.97907397000927,-0.015550108584226674,2020-09-14 13:00:00,2020-09-14 13:30:00,0 days 00:30:00
12,-1,17849,17870,10615.08728,10662.86,-47.772720000000845,-0.004500454752737637,2020-09-14 14:00:00,2020-09-15 00:30:00,0 days 10:30:00
13,1,19241,19259,11373.69198,11434.97,61.27801999999974,0.0053876982168810095,2020-10-13 14:00:00,2020-10-13 23:00:00,0 days 09:00:00
14,-15,20673,20702,16029.18738,16396.611857013624,-5511.367155204371,-0.022922214851145206,2020-11-12 10:00:00,2020-11-13 00:30:00,0 days 14:30:00
15,12,22048,22075,17940.95028,18054.88,1367.156640000001,0.0063502611746828475,2020-12-11 01:30:00,2020-12-11 15:00:00,0 days 13:30:00
16,2,23520,23525,38282.84286,36316.43001547861,-3932.825689042773,-0.051365381920891795,2021-01-10 17:30:00,2021-01-10 20:00:00,0 days 02:30:00
17,1,23526,23546,36130.556880000004,33258.87397880597,-2871.6829011940354,-0.07948072626535263,2021-01-10 20:30:00,2021-01-11 06:30:00,0 days 10:00:00
18,-2,24903,24923,43418.8882,45756.582527346196,-4675.3886546923895,-0.05384049256577228,2021-02-08 13:00:00,2021-02-08 23:00:00,0 days 10:00:00
19,-1,24924,24939,46165.91314,48214.1,-2048.1868600000016,-0.04436578247220613,2021-02-08 23:30:00,2021-02-09 07:00:00,0 days 07:30:00
20,-2,26318,26348,55627.8713,56255.79,-1255.837400000004,-0.011287843401622366,2021-03-10 00:30:00,2021-03-10 15:30:00,0 days 15:00:00
21,-2,26349,26366,56262.07036,56478.63,-433.119279999999,-0.003849123194619608,2021-03-10 16:00:00,2021-03-11 00:30:00,0 days 08:30:00
22,-1,27759,27788,58224.40781999999,58247.9,-23.492180000008375,-0.0004034764951605929,2021-04-09 01:00:00,2021-04-09 15:30:00,0 days 14:30:00
23,-2,29166,29181,59107.77754,57660.76,2894.0350800000015,0.02448100064362524,2021-05-08 08:30:00,2021-05-08 16:00:00,0 days 07:30:00
24,3,30631,30642,34501.09446,33159.750300419684,-4024.032478740948,-0.038878307502257625,2021-06-07 21:00:00,2021-06-08 02:30:00,0 days 05:30:00
25,-5,32040,32061,34736.82712,34534.89,1009.6856000000116,0.005813343841174712,2021-07-07 05:30:00,2021-07-07 16:00:00,0 days 10:30:00
26,4,33443,33456,38106.049979999996,40166.86,8243.240080000018,0.054080914213927356,2021-08-05 11:00:00,2021-08-05 17:30:00,0 days 06:30:00
