Date,VAH,VAL,POC,VWAP,Day_High,Day_Low,Price_Range[VAH-VAL]
2020-04-01,6398.0,6200.0,6295.5,6491.33,6687.0,6145.0,198.0
2020-04-02,6966.5,6569.5,6638.5,6856.83,7230.5,6543.5,397.0
2020-04-03,7044.0,6760.5,6894.5,6792.0,7044.0,6604.5,283.5
2020-04-04,6814.5,6682.5,6748.5,6840.5,7012.0,6646.0,132.0
2020-04-05,6807.0,6762.0,6791.0,6780.0,6889.0,6680.0,45.0
2020-04-06,7180.0,6762.0,6838.0,7149.17,7363.0,6762.0,418.0
2020-04-07,7417.0,7273.0,7356.0,7243.17,7458.5,7072.5,144.0
2020-04-08,7367.0,7257.0,7335.0,7308.0,7417.0,7150.5,110.0
2020-04-09,7285.5,7123.5,7171.5,7256.33,7364.0,7123.0,162.0
2020-04-10,6992.5,6811.5,6916.5,6961.83,7287.0,6741.5,181.0
2020-04-11,6930.0,6834.0,6850.0,6857.5,6938.0,6760.0,96.0
2020-04-12,7060.0,6780.5,6976.0,6950.33,7170.0,6780.0,279.5
2020-04-13,6808.5,6653.5,6687.5,6764.17,6901.0,6557.0,155.0
2020-04-14,6920.5,6829.5,6854.5,6861.33,6967.0,6752.5,91.0
2020-04-15,6826.5,6677.0,6716.5,6715.0,6924.5,6603.0,149.5
2020-04-16,7155.5,6926.5,7044.5,6917.67,7188.0,6465.5,229.0
2020-04-17,7079.5,7021.5,7049.5,7047.5,7138.5,6982.0,58.0
2020-04-18,7272.0,7131.5,7215.0,7180.83,7289.0,7013.5,140.5
2020-04-19,7171.5,7088.5,7143.5,7140.17,7255.0,7047.0,83.0
2020-04-20,7116.0,6837.5,7037.5,6929.5,7211.0,6750.0,278.5
2020-04-21,6895.5,6823.5,6879.5,6844.67,6937.0,6759.5,72.0
2020-04-22,7159.0,6949.5,7100.0,7032.67,7159.5,6815.5,209.5
2020-04-23,7741.0,7459.0,7548.0,7414.0,7743.5,7015.0,282.0
2020-04-24,7541.5,7478.5,7504.5,7502.5,7608.5,7400.0,63.0
2020-04-25,7666.0,7502.5,7547.5,7558.17,7702.5,7437.0,163.5
2020-04-26,7635.0,7496.0,7500.0,7628.67,7698.5,7496.0,139.0
2020-04-27,7764.5,7678.5,7753.5,7729.33,7791.5,7624.0,86.0
2020-04-28,7750.0,7698.0,7729.0,7728.0,7778.0,7663.0,52.0
2020-04-29,8951.5,8300.5,8800.0,8479.67,8951.5,7709.5,651.0
2020-04-30,9112.0,8462.0,8800.0,8828.5,9458.0,8402.5,650.0
2020-05-01,8857.0,8679.0,8745.0,8833.33,9060.5,8619.0,178.0
2020-05-02,8944.0,8811.0,8915.0,8913.17,9010.0,8757.0,133.0
2020-05-03,9034.5,8772.0,8869.5,8937.0,9191.0,8725.0,262.5
2020-05-04,8829.0,8574.0,8710.0,8783.67,8953.0,8525.0,255.0
2020-05-05,8998.0,8815.0,8859.0,8966.67,9105.5,8771.0,183.0
2020-05-06,9356.0,9107.5,9214.0,9154.33,9393.5,8920.0,248.5
2020-05-07,9837.5,9151.0,9287.5,9694.67,10059.5,9038.0,686.5
2020-05-08,9972.0,9822.0,9911.0,9852.17,10035.0,9716.5,150.0
2020-05-09,9744.0,9558.0,9606.0,9661.17,9912.0,9525.5,186.0
2020-05-10,8796.5,8475.5,8621.5,8815.67,9569.0,8153.0,321.0
