startTime,openPrice,highPrice,lowPrice,closePrice,volume,turnover
1704997800000,46469.4,46509.7,46466,46506.2,116.496,5416387.9987
1704997860000,46506.2,46530.5,46482.1,46520.2,286.079,13305512.2169
1704997920000,46520.2,46528.9,46500,46508.4,103.532,4814917.4539
1704997980000,46508.4,46518.9,46500,46510.9,72.031,3349983.1607
1704998040000,46510.9,46515.4,46503.4,46508.3,66.093,3073927.2693
1704998100000,46508.3,46510.3,46500.1,46510.3,50.829,2363820.3673
1704998160000,46510.3,46597.2,46510.2,46584,181.3,8443718.5039
1704998220000,46584,46596.8,46554.4,46592,101.549,4730131.6086
1704998280000,46592,46645,46576,46641.4,274.028,12775032.6231
1704998340000,46641.4,46670.2,46623,46636.6,306.705,14307433.7754
1704998400000,46636.6,46685.6,46626.7,46674.6,419.434,19570024.0349
1704998460000,46674.6,46693.2,46643,46652,151.96,7090612.1639
1704998520000,46652,46652.1,46567.7,46585.5,216.621,10095602.0038
1704998580000,46585.5,46627.2,46575.9,46613.1,76.579,3568731.3384
1704998640000,46613.1,46617,46572.5,46572.5,86.216,4016895.042
1704998700000,46572.5,46611.5,46526.4,46603.2,99.598,4637591.6182
1704998760000,46603.2,46657.1,46593.4,46618.8,59.888,2792071.0051
1704998820000,46618.8,46629.4,46588.4,46604,30.408,1417231.6201
1704998880000,46604,46604.7,46551.7,46558.8,74.701,3479516.6551
1704998940000,46558.8,46570.8,46467,46506.7,137.735,6405534.9986
1704999000000,46506.7,46509.2,46480.8,46486.9,35.058,1629875.9177
1704999060000,46486.9,46486.9,46421.1,46456.6,178.698,8300615.6351
1704999120000,46456.6,46487,46450.9,46487,55.421,2575343.8011
1704999180000,46487,46546.8,46486.9,46514.8,90.371,4203629.3855
1704999240000,46514.8,46559.9,46514.8,46549,32.998,1535893.9519
1704999300000,46549,46574,46520,46567,307.059,14292387.805
1704999360000,46567,46573.7,46522.1,46543.9,38.263,1780888.0129
1704999420000,46543.9,46593.8,46536,46590.4,56.532,2632356.3631
1704999480000,46590.4,46590.4,46538.8,46538.8,48.913,2277320.6872
1704999540000,46538.8,46655.7,46538.8,46629,139.876,6517517.0881
1704999600000,46629,46633.8,46547,46547.1,60.223,2805971.0208
1704999660000,46547.1,46578.5,46486.8,46499.9,131.898,6137039.4519
1704999720000,46499.9,46529.5,46499.8,46513.5,62.392,2902228.822
1704999780000,46513.5,46541.6,46501.7,46541.5,38.787,1804267.3323
1704999840000,46541.5,46541.6,46496.4,46501.9,56.051,2607583.6721
1704999900000,46501.9,46508.8,46481,46504.8,73.512,3417881.6661
1704999960000,46504.8,46514.1,46486.1,46488.9,53.101,2469078.8441
1705000020000,46488.9,46565.2,46488.9,46565.2,68.246,3174335.9835
1705000080000,46565.2,46576.2,46472,46500,68.287,3176324.7288
1705000140000,46500,46524.3,46499.4,46504.5,34.918,1623971.4114
1705000200000,46504.5,46515,46450,46509.1,57.341,2665033.5612
1705000260000,46509.1,46535.8,46500.5,46500.5,19.924,926803.8184
1705000320000,46500.5,46520.9,46500.5,46509.7,27.549,1281315.4756
1705000380000,46509.7,46516.6,46463.2,46475.9,37.172,1727888.7932
1705000440000,46475.9,46491.2,46455.9,46459.6,57.491,2671280.2093
1705000500000,46459.6,46509.9,46459,46499,40.713,1892071.7956
1705000560000,46499,46558.3,46498.9,46540,64.246,2989223.7114
1705000620000,46540,46554.1,46480,46503.6,91.837,4270506.102
1705000680000,46503.6,46503.6,46375.2,46409.7,216.808,10065657.7371
1705000740000,46409.7,46428,46378.3,46394.7,82.55,3830069.8514
1705000800000,46394.7,46421.7,46370,46399.9,58.062,2693692.0636
1705000860000,46399.9,46400,46359,46365.1,101.887,4725347.1456
1705000920000,46365.1,46365.2,46321.7,46353.1,155.903,7225168.1734
1705000980000,46353.1,46378,46348.3,46362.1,33.714,1562985.882
