timestamp,price_volatility,volume_volatility,change_price_volatility,change_volume_volatility
2024-05-07 00:00:00,206.8,,,
2024-05-07 00:01:00,92.3,0.54,-114.5,
2024-05-07 00:02:00,42.9,342.69,-49.4,342.15
2024-05-07 00:03:00,101.9,131.84,59.0,-210.85
2024-05-07 00:04:00,136.6,55.12,34.7,-76.72
2024-05-07 00:05:00,178.7,309.23,42.1,254.11
2024-05-07 00:06:00,242.5,916.65,63.8,607.42
2024-05-07 00:07:00,82.6,1160.79,-159.9,244.14
2024-05-07 00:08:00,118.6,13.19,36.0,-1147.6
2024-05-07 00:09:00,133.2,10.16,14.6,-3.03
2024-05-07 00:10:00,62.3,121.74,-70.9,111.58
2024-05-07 00:11:00,45.3,50.88,-17.0,-70.86
2024-05-07 00:12:00,53.8,18.2,8.5,-32.68
2024-05-07 00:13:00,17.2,34.16,-36.6,15.96
2024-05-07 00:14:00,54.1,3.82,36.9,-30.34
2024-05-07 00:15:00,59.4,24.8,5.3,20.98
2024-05-07 00:16:00,38.8,12.23,-20.6,-12.57
2024-05-07 00:17:00,213.9,581.44,175.1,569.21
2024-05-07 00:18:00,57.9,525.13,-156.0,-56.31
2024-05-07 00:19:00,60.8,66.72,2.9,-458.41
2024-05-07 00:20:00,34.2,49.52,-26.6,-17.2
2024-05-07 00:21:00,34.0,43.63,-0.2,-5.89
2024-05-07 00:22:00,41.5,1.1,7.5,-42.53
2024-05-07 00:23:00,109.8,28.99,68.3,27.89
2024-05-07 00:24:00,76.9,27.35,-32.9,-1.64
2024-05-07 00:25:00,29.4,19.92,-47.5,-7.43
2024-05-07 00:26:00,23.4,8.55,-6.0,-11.37
2024-05-07 00:27:00,32.8,17.74,9.4,9.19
2024-05-07 00:28:00,44.8,0.45,12.0,-17.29
2024-05-07 00:29:00,21.3,14.93,-23.5,14.48
2024-05-07 00:30:00,51.0,4.82,29.7,-10.11
2024-05-07 00:31:00,45.0,9.07,-6.0,4.25
2024-05-07 00:32:00,55.5,47.9,10.5,38.83
2024-05-07 00:33:00,28.3,44.41,-27.2,-3.49
2024-05-07 00:34:00,51.9,0.22,23.6,-44.19
2024-05-07 00:35:00,66.0,10.92,14.1,10.7
2024-05-07 00:36:00,38.9,15.49,-27.1,4.57
2024-05-07 00:37:00,66.8,19.52,27.9,4.03
2024-05-07 00:38:00,26.8,24.14,-40.0,4.62
2024-05-07 00:39:00,33.4,20.92,6.6,-3.22
2024-05-07 00:40:00,28.4,19.96,-5.0,-0.96
2024-05-07 00:41:00,26.2,13.67,-2.2,-6.29
2024-05-07 00:42:00,218.4,293.32,192.2,279.65
2024-05-07 00:43:00,127.9,235.22,-90.5,-58.1
2024-05-07 00:44:00,57.0,51.11,-70.9,-184.11
2024-05-07 00:45:00,285.7,1545.96,228.7,1494.85
